"","ID","MonthlyIncome"
"1",871,5821.14620082882
"2",872,2716.26543279825
"3",873,12294.2061236625
"4",874,2095.1168592653
"5",875,2202.73934215986
"6",876,6436.58861270489
"7",877,5261.71357827439
"8",878,1908.47746533617
"9",879,2447.1544443901
"10",880,12609.4037094559
"11",881,9692.79741725309
"12",882,2464.77137901099
"13",883,5990.06973859251
"14",884,5829.71378818192
"15",885,6328.31605173562
"16",886,6198.80659795447
"17",887,5996.56008147295
"18",888,5979.43674136974
"19",889,5386.94210673401
"20",890,2826.64886606144
"21",891,5745.29807431277
"22",892,8613.11564295652
"23",893,8849.41731959123
"24",894,5416.80739946322
"25",895,9716.52661878499
"26",896,9247.51935828591
"27",897,8613.03149177
"28",898,15975.05527349
"29",899,5825.21113836579
"30",900,2739.76314271897
"31",901,2601.24200581404
"32",902,5900.89995362227
"33",903,6298.35477293176
"34",904,3027.17785059708
"35",905,16313.8872246325
"36",906,5617.35744792446
"37",907,9531.66959422369
"38",908,6150.90363927098
"39",909,2543.31680013369
"40",910,2593.57924785201
"41",911,19181.622558229
"42",912,2699.0765360863
"43",913,2580.57242842398
"44",914,13333.5380093976
"45",915,6056.89626382836
"46",916,5108.68975388397
"47",917,2520.31221476523
"48",918,5743.80908411326
"49",919,2278.431265488
"50",920,2627.93234118061
"51",921,2464.02014209357
"52",922,2732.11563474042
"53",923,5576.27747440702
"54",924,5187.40914952399
"55",925,16899.8697246687
"56",926,2499.8283973034
"57",927,5920.18909399263
"58",928,12993.5004997971
"59",929,1919.69834719877
"60",930,2574.25593111677
"61",931,5878.98934192142
"62",932,13159.4101933914
"63",933,8718.47237342329
"64",934,2475.76581380165
"65",935,2353.81296590992
"66",936,2058.92295180641
"67",937,9113.73297407458
"68",938,9280.36537601556
"69",939,6019.36602375277
"70",940,2578.35179984967
"71",941,3016.71011075355
"72",942,9078.69517150675
"73",943,9693.86318647723
"74",944,6234.34197659332
"75",945,2090.55521371184
"76",946,5836.04890448866
"77",947,2587.0632039786
"78",948,2563.62444126085
"79",949,2467.25747514715
"80",950,5634.59773557747
"81",951,2502.6901821027
"82",952,5829.13712884837
"83",953,5833.53302337083
"84",954,2363.94923543294
"85",955,5098.1288256558
"86",956,8197.13416740178
"87",957,10390.7885341242
"88",958,2067.97376117471
"89",959,9446.56019666061
"90",960,20065.8675574528
"91",961,2675.699546673
"92",962,5645.70524136052
"93",963,6134.82709573507
"94",964,5707.65774018948
"95",965,2563.69331144995
"96",966,19410.3495410604
"97",967,2279.94381870394
"98",968,9136.52288700081
"99",969,16806.0410455371
"100",970,2403.08583921485
"101",971,5927.32397442208
"102",972,6032.7194435433
"103",973,2189.06503654456
"104",974,2403.78693065955
"105",975,5953.64485512229
"106",976,2690.51442094762
"107",977,6479.22371657481
"108",978,2323.00628366346
"109",979,8830.37397560638
"110",980,19426.2828330232
"111",981,2402.04494096812
"112",982,9216.62396335733
"113",983,2748.48598754925
"114",984,2570.69935795704
"115",985,5887.79846335355
"116",986,2574.93355107093
"117",987,2662.64081452352
"118",988,5761.65266889846
"119",989,8960.70151417201
"120",990,2719.68744402525
"121",991,5973.34387913937
"122",992,2604.10913726887
"123",993,6084.06607311116
"124",994,5530.16532306654
"125",995,5082.99424414588
"126",996,5765.52499261117
"127",997,2563.52679174771
"128",998,17038.9647360712
"129",999,8850.10774796516
